epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13567,1.39698,0.65732,0.95812,0.7083,0.51842,0.58712,0.36453,1.32989,0.5755,0.94155,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13988.3,1.3971,0.65871,0.95887,0.70406,0.52413,0.58713,0.36438,1.3297,0.57471,0.9413,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14409.7,1.39586,0.65572,0.95731,0.70761,0.52152,0.5872,0.36576,1.32961,0.57394,0.94115,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14830.5,1.39575,0.65559,0.95805,0.71499,0.52048,0.58816,0.36657,1.32888,0.5734,0.94082,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15252.3,1.39526,0.65215,0.95799,0.70454,0.52583,0.58982,0.36737,1.32864,0.57312,0.94084,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15674,1.39066,0.65092,0.95665,0.70331,0.52512,0.59016,0.36787,1.32787,0.57275,0.94059,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16094.2,1.39038,0.65174,0.95548,0.6905,0.53582,0.59151,0.36811,1.32763,0.57162,0.94043,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16515.1,1.38965,0.64832,0.95579,0.71238,0.52414,0.59237,0.37025,1.32653,0.57093,0.94007,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,16935.9,1.38854,0.64794,0.95527,0.69252,0.5346,0.59433,0.37126,1.32606,0.57027,0.93978,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17357.8,1.38482,0.64601,0.9546,0.69363,0.52952,0.59393,0.37036,1.32503,0.56988,0.93936,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17777.2,1.38367,0.64487,0.95508,0.70636,0.52622,0.59588,0.3711,1.32447,0.5694,0.93928,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18198.7,1.38398,0.64376,0.9537,0.70746,0.52327,0.59582,0.37116,1.3242,0.56841,0.93903,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,18619.3,1.3835,0.64309,0.95318,0.70603,0.52754,0.59695,0.37135,1.32361,0.5678,0.93881,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19041.7,1.37983,0.64068,0.95332,0.70838,0.53016,0.59732,0.37181,1.32279,0.56718,0.93873,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19462.6,1.37931,0.64027,0.95283,0.69584,0.53721,0.59755,0.37229,1.32209,0.56637,0.93845,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19884,1.38145,0.64103,0.95358,0.69079,0.54407,0.59759,0.37312,1.32192,0.56605,0.93825,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20303.5,1.3769,0.63801,0.95271,0.68366,0.55797,0.59816,0.3741,1.32136,0.56562,0.93815,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,20724.9,1.37652,0.63672,0.95114,0.71322,0.53092,0.5989,0.37378,1.32131,0.56514,0.93803,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21144.2,1.37641,0.63695,0.95092,0.71244,0.52851,0.59826,0.3746,1.32143,0.56504,0.93774,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21565.3,1.37669,0.63646,0.95177,0.67956,0.55089,0.5979,0.37449,1.32133,0.56444,0.93778,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21988.7,1.37391,0.63483,0.95067,0.67822,0.5497,0.59788,0.37522,1.32131,0.56425,0.93757,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22409.7,1.36907,0.63222,0.9494,0.72872,0.5237,0.59938,0.37544,1.32092,0.56388,0.93721,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22830.5,1.37122,0.63306,0.94967,0.72469,0.52667,0.60056,0.37635,1.32064,0.56339,0.93695,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23249.9,1.36846,0.62951,0.94966,0.68967,0.55379,0.60292,0.3762,1.32021,0.56333,0.93682,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23667.2,1.36805,0.62872,0.9486,0.72705,0.52724,0.60237,0.37719,1.31973,0.56279,0.93641,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
