               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038927,            0.045297,           0.0037199,             0.64185,             0.50517,             0.53975,             0.35297,            0.039539,            0.047278,           0.0056912,            0.006535,            0.006535,            0.006535
                  37,            0.038871,            0.045199,           0.0037154,             0.72383,             0.46666,             0.54467,             0.35843,             0.03957,            0.047341,           0.0054654,            0.006436,            0.006436,            0.006436
                  38,            0.038708,             0.04533,            0.003532,               0.665,             0.49247,             0.54598,             0.35737,            0.039381,            0.047217,           0.0056196,            0.006337,            0.006337,            0.006337
                  39,            0.038603,            0.045137,           0.0034822,             0.69681,              0.4887,             0.55245,              0.3583,            0.039423,            0.047417,           0.0055147,            0.006238,            0.006238,            0.006238
                  40,            0.038516,            0.045069,           0.0034621,             0.70979,             0.48269,             0.55193,             0.35993,            0.039282,            0.047257,           0.0054518,            0.006139,            0.006139,            0.006139
                  41,            0.038543,            0.044613,           0.0034728,             0.66424,             0.50615,             0.55335,             0.36388,            0.039362,             0.04718,           0.0054337,             0.00604,             0.00604,             0.00604
                  42,            0.038446,            0.044675,           0.0034008,             0.65757,             0.50559,             0.55481,             0.36485,            0.039375,            0.047479,           0.0054507,            0.005941,            0.005941,            0.005941
                  43,            0.038137,            0.044394,           0.0033466,             0.73812,             0.46775,             0.54936,             0.35985,             0.03929,             0.04729,           0.0054166,            0.005842,            0.005842,            0.005842
                  44,             0.03819,            0.044574,           0.0033079,             0.65215,             0.51595,             0.55287,             0.36217,            0.039265,             0.04703,           0.0054908,            0.005743,            0.005743,            0.005743
                  45,            0.038212,            0.044473,           0.0032665,              0.6945,             0.48042,             0.55037,               0.365,            0.039216,            0.047284,           0.0056613,            0.005644,            0.005644,            0.005644
                  46,            0.038104,            0.044645,           0.0032302,             0.68334,             0.49325,             0.54823,             0.35831,            0.039148,            0.047292,            0.005692,            0.005545,            0.005545,            0.005545
                  47,            0.037876,            0.044149,           0.0032204,             0.70927,             0.48106,             0.55454,             0.36545,            0.039049,            0.047032,           0.0055341,            0.005446,            0.005446,            0.005446
                  48,             0.03793,            0.044355,           0.0031611,             0.74174,              0.4759,             0.55144,             0.35959,            0.039027,            0.047141,           0.0056168,            0.005347,            0.005347,            0.005347
                  49,            0.037818,            0.044103,           0.0031044,             0.70088,             0.48237,             0.54855,               0.362,            0.039023,            0.047188,           0.0057091,            0.005248,            0.005248,            0.005248
                  50,            0.037596,            0.043798,           0.0030662,             0.69966,             0.47549,             0.54671,             0.35997,            0.039102,            0.047166,           0.0057855,            0.005149,            0.005149,            0.005149
                  51,            0.037674,            0.044178,           0.0030695,             0.74731,             0.45948,             0.54828,             0.36207,            0.038992,            0.047149,           0.0058278,             0.00505,             0.00505,             0.00505
                  52,            0.037487,            0.044219,           0.0030219,             0.70052,             0.48967,             0.54768,             0.36203,            0.039025,            0.047159,           0.0058066,            0.004951,            0.004951,            0.004951
                  53,            0.037448,            0.043437,           0.0028794,             0.70112,              0.5018,              0.5562,             0.36867,            0.038949,            0.047184,           0.0055955,            0.004852,            0.004852,            0.004852
                  54,            0.037438,            0.043788,            0.002941,             0.70453,             0.49471,             0.56102,             0.37071,             0.03892,            0.047071,           0.0056488,            0.004753,            0.004753,            0.004753
                  55,             0.03723,            0.043241,           0.0029243,              0.7266,             0.48314,             0.55387,             0.36249,            0.038908,            0.047184,           0.0058515,            0.004654,            0.004654,            0.004654
                  56,            0.037201,            0.043646,           0.0028455,             0.70846,             0.49951,             0.55489,             0.36752,            0.038913,            0.047202,           0.0057464,            0.004555,            0.004555,            0.004555
                  57,            0.037184,            0.043657,           0.0028456,              0.7106,             0.49689,             0.55717,             0.36772,            0.038845,            0.047224,           0.0057767,            0.004456,            0.004456,            0.004456
                  58,            0.037225,            0.043306,           0.0028073,             0.68946,             0.50052,             0.55383,             0.36426,            0.038844,            0.047245,           0.0059396,            0.004357,            0.004357,            0.004357
                  59,            0.036998,            0.043135,           0.0027775,             0.71849,             0.49835,             0.55623,             0.36892,            0.038807,            0.047208,           0.0057753,            0.004258,            0.004258,            0.004258
                  60,            0.036924,            0.042904,           0.0027599,             0.71501,             0.50207,             0.55522,             0.37006,             0.03884,             0.04729,           0.0059135,            0.004159,            0.004159,            0.004159
                  61,            0.036918,            0.043603,           0.0026823,             0.69347,             0.50862,             0.55872,             0.37248,            0.038777,            0.047117,           0.0057925,             0.00406,             0.00406,             0.00406
                  62,            0.036569,            0.042893,           0.0027247,             0.73348,              0.4982,             0.55432,             0.36836,            0.038753,            0.047212,           0.0058463,            0.003961,            0.003961,            0.003961
                  63,            0.036701,             0.04314,           0.0026516,             0.71118,             0.48523,             0.55157,             0.36863,            0.038848,            0.047286,           0.0059298,            0.003862,            0.003862,            0.003862
                  64,            0.036662,            0.042721,           0.0026139,             0.72567,             0.49201,             0.55509,             0.36902,            0.038868,            0.047428,           0.0058736,            0.003763,            0.003763,            0.003763
                  65,             0.03655,            0.042189,           0.0025749,             0.73718,             0.47639,             0.55556,             0.37013,             0.03881,              0.0474,           0.0059569,            0.003664,            0.003664,            0.003664
                  66,            0.036356,            0.042466,           0.0025663,             0.72366,             0.48527,             0.55791,             0.37241,            0.038881,            0.047366,           0.0058831,            0.003565,            0.003565,            0.003565
                  67,            0.036384,            0.042155,           0.0025549,             0.72299,             0.49175,             0.55517,             0.36857,            0.038827,            0.047351,           0.0059614,            0.003466,            0.003466,            0.003466
                  68,             0.03628,            0.042701,           0.0025146,             0.73886,             0.48884,             0.55522,             0.37006,            0.038722,            0.047191,           0.0060586,            0.003367,            0.003367,            0.003367
