               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027677,            0.021762,           0.0023886,              0.9498,             0.92351,             0.96786,             0.73898,            0.024074,            0.032878,           0.0019993,            0.006535,            0.006535,            0.006535
                  37,            0.027482,            0.021908,           0.0021763,             0.96119,             0.92762,             0.97039,             0.74524,            0.023837,             0.03265,           0.0019622,            0.006436,            0.006436,            0.006436
                  38,            0.027301,            0.021742,           0.0022502,             0.94837,             0.93038,             0.96943,             0.74352,            0.023813,            0.032765,           0.0019591,            0.006337,            0.006337,            0.006337
                  39,            0.026955,             0.02116,           0.0022236,             0.93566,             0.93118,             0.96607,             0.74744,            0.023617,            0.032444,           0.0018805,            0.006238,            0.006238,            0.006238
                  40,            0.026936,            0.021194,           0.0022267,             0.95368,             0.91853,              0.9684,             0.74757,            0.023542,            0.032345,           0.0019311,            0.006139,            0.006139,            0.006139
                  41,            0.027114,            0.021161,           0.0021261,             0.96535,             0.92515,             0.96902,             0.74659,            0.023614,            0.032379,            0.001861,             0.00604,             0.00604,             0.00604
                  42,            0.026572,            0.021037,           0.0021619,             0.96523,             0.91754,             0.97037,             0.75316,            0.023317,            0.031893,            0.001644,            0.005941,            0.005941,            0.005941
                  43,            0.026524,            0.021207,           0.0021096,             0.94082,             0.93159,             0.96995,             0.75264,             0.02337,            0.031822,           0.0017389,            0.005842,            0.005842,            0.005842
                  44,            0.026567,            0.020964,              0.0021,             0.95298,             0.93166,             0.97319,             0.76142,            0.023262,            0.031617,           0.0016115,            0.005743,            0.005743,            0.005743
                  45,            0.026197,            0.020632,           0.0019417,             0.95088,             0.93031,             0.97169,             0.75773,            0.023177,            0.031656,            0.001644,            0.005644,            0.005644,            0.005644
                  46,             0.02632,            0.020642,           0.0020467,             0.95898,             0.92729,             0.96451,             0.75333,            0.023148,            0.031793,           0.0017052,            0.005545,            0.005545,            0.005545
                  47,            0.026102,            0.020493,           0.0020365,             0.94976,             0.92716,             0.97242,             0.75814,            0.022986,            0.031648,           0.0016924,            0.005446,            0.005446,            0.005446
                  48,            0.025862,            0.020316,           0.0019466,             0.95288,             0.93211,             0.97059,             0.76824,             0.02284,            0.031397,           0.0017603,            0.005347,            0.005347,            0.005347
                  49,            0.025706,            0.020418,           0.0019337,             0.96165,             0.92706,             0.97328,              0.7674,            0.022745,            0.031243,           0.0017143,            0.005248,            0.005248,            0.005248
                  50,            0.025534,            0.020189,           0.0018861,             0.97068,             0.92048,             0.97439,             0.77017,             0.02272,            0.030979,           0.0016347,            0.005149,            0.005149,            0.005149
                  51,            0.025457,              0.0201,           0.0019303,             0.96004,             0.93867,             0.97659,             0.77304,            0.022704,            0.030864,           0.0017213,             0.00505,             0.00505,             0.00505
                  52,            0.025244,            0.020134,            0.001776,             0.94933,              0.9354,             0.97445,              0.7759,            0.022413,            0.030773,           0.0016778,            0.004951,            0.004951,            0.004951
                  53,            0.025251,            0.020049,           0.0018381,             0.96428,             0.92842,             0.97396,             0.77445,            0.022475,            0.030795,           0.0015145,            0.004852,            0.004852,            0.004852
                  54,            0.024984,             0.01982,           0.0017466,             0.97346,             0.92106,             0.97667,             0.77461,             0.02246,            0.030553,           0.0013384,            0.004753,            0.004753,            0.004753
                  55,            0.024819,            0.019794,           0.0018463,             0.97048,             0.92828,             0.97507,             0.77541,            0.022291,            0.030625,           0.0016051,            0.004654,            0.004654,            0.004654
                  56,            0.024982,            0.019929,           0.0018312,             0.96185,             0.93713,             0.97549,             0.77397,            0.022456,            0.030639,           0.0015464,            0.004555,            0.004555,            0.004555
                  57,            0.024751,            0.019548,           0.0018033,               0.965,             0.93366,             0.97566,             0.77733,            0.022237,            0.030315,           0.0014665,            0.004456,            0.004456,            0.004456
                  58,            0.024529,             0.01944,           0.0017594,             0.96695,             0.93507,              0.9763,              0.7765,            0.022179,            0.030585,           0.0012659,            0.004357,            0.004357,            0.004357
                  59,            0.024604,            0.019568,           0.0017338,             0.96738,             0.93955,             0.97803,             0.79001,            0.021929,            0.030318,           0.0013248,            0.004258,            0.004258,            0.004258
                  60,            0.024174,            0.019157,            0.001738,             0.96263,             0.94092,             0.97686,             0.78422,            0.021912,            0.030124,           0.0013131,            0.004159,            0.004159,            0.004159
                  61,            0.024183,              0.0191,           0.0016994,              0.9694,              0.9425,              0.9783,             0.78717,            0.021869,            0.030045,            0.001239,             0.00406,             0.00406,             0.00406
                  62,            0.024179,             0.01912,           0.0016454,             0.96566,             0.93099,             0.97559,             0.78549,            0.021884,            0.030011,           0.0013022,            0.003961,            0.003961,            0.003961
                  63,            0.023908,            0.018835,           0.0016596,             0.96758,             0.93284,             0.97468,             0.78484,            0.021786,            0.029985,           0.0013194,            0.003862,            0.003862,            0.003862
                  64,            0.023904,            0.018986,           0.0016848,             0.96654,             0.93617,             0.97572,             0.78753,            0.021732,            0.030117,           0.0012356,            0.003763,            0.003763,            0.003763
                  65,            0.023795,            0.019116,           0.0016547,             0.96445,             0.93276,             0.97594,             0.79008,            0.021631,             0.02993,           0.0012241,            0.003664,            0.003664,            0.003664
                  66,            0.023651,            0.018831,           0.0015884,             0.97708,             0.93113,             0.97689,             0.78743,            0.021577,            0.029701,           0.0011987,            0.003565,            0.003565,            0.003565
                  67,            0.023537,            0.018801,           0.0015659,             0.96674,             0.94292,             0.97498,             0.78985,            0.021499,            0.029745,           0.0012146,            0.003466,            0.003466,            0.003466
                  68,            0.023454,              0.0189,           0.0015781,             0.96894,             0.93643,             0.97619,             0.79697,            0.021477,            0.029448,           0.0012393,            0.003367,            0.003367,            0.003367
                  69,            0.023274,            0.018704,            0.001583,             0.97264,             0.92648,             0.97706,             0.79128,            0.021478,            0.029707,           0.0012095,            0.003268,            0.003268,            0.003268
                  70,            0.023166,            0.018784,           0.0015784,             0.96097,             0.94048,             0.97518,             0.79439,            0.021332,            0.029745,           0.0012052,            0.003169,            0.003169,            0.003169
                  71,            0.023045,            0.018624,           0.0015335,             0.96211,             0.94043,             0.97549,             0.79385,             0.02132,            0.029551,           0.0012106,             0.00307,             0.00307,             0.00307
                  72,            0.022972,            0.018398,           0.0015174,             0.96215,             0.93956,             0.97613,             0.79174,            0.021282,            0.029549,           0.0013206,            0.002971,            0.002971,            0.002971
                  73,            0.022979,            0.018413,           0.0015457,             0.95896,             0.93794,             0.97646,             0.79443,            0.021178,            0.029528,           0.0012409,            0.002872,            0.002872,            0.002872
                  74,            0.022871,            0.018033,           0.0015244,             0.96841,             0.94274,             0.97597,             0.79678,            0.021149,            0.029483,           0.0014186,            0.002773,            0.002773,            0.002773
                  75,            0.022645,            0.018057,           0.0015262,             0.96902,             0.93995,             0.97513,             0.80361,            0.021143,            0.029472,            0.001319,            0.002674,            0.002674,            0.002674
                  76,            0.022534,             0.01808,           0.0015008,             0.97042,                0.94,             0.97836,             0.79926,            0.021079,            0.029293,           0.0012355,            0.002575,            0.002575,            0.002575
                  77,            0.022562,            0.018179,           0.0014857,             0.96789,              0.9362,             0.97632,             0.80382,            0.021059,            0.029307,            0.001216,            0.002476,            0.002476,            0.002476
                  78,            0.022447,            0.017791,           0.0014851,             0.96485,             0.93857,             0.97582,             0.79978,             0.02091,            0.029236,           0.0013116,            0.002377,            0.002377,            0.002377
                  79,            0.022171,            0.017731,           0.0013468,             0.97336,             0.93963,             0.97737,             0.80551,            0.020849,            0.029172,           0.0013278,            0.002278,            0.002278,            0.002278
                  80,            0.022119,            0.017457,           0.0014579,             0.96806,             0.94567,             0.97946,             0.80392,            0.020897,            0.029247,           0.0010679,            0.002179,            0.002179,            0.002179
                  81,            0.022278,            0.017819,           0.0014105,             0.96961,             0.93748,             0.97963,              0.8061,            0.020822,            0.029076,           0.0010955,             0.00208,             0.00208,             0.00208
                  82,            0.022008,             0.01792,           0.0013978,             0.96948,             0.94315,             0.97812,             0.80845,            0.020793,            0.029143,            0.001152,            0.001981,            0.001981,            0.001981
                  83,            0.021937,             0.01754,           0.0013159,             0.96774,             0.94084,             0.97642,             0.80885,            0.020813,            0.029192,            0.001113,            0.001882,            0.001882,            0.001882
                  84,             0.02168,             0.01761,           0.0013933,             0.97159,             0.93819,             0.97888,             0.80869,            0.020723,            0.029083,           0.0011383,            0.001783,            0.001783,            0.001783
                  85,             0.02183,            0.017361,           0.0013459,             0.97046,             0.94425,             0.97803,             0.81296,            0.020689,            0.029037,           0.0010858,            0.001684,            0.001684,            0.001684
                  86,            0.021671,            0.017217,           0.0013923,             0.96955,             0.94179,             0.97918,             0.81317,             0.02067,            0.029024,           0.0010794,            0.001585,            0.001585,            0.001585
                  87,             0.02157,            0.017205,           0.0013555,             0.96816,             0.94066,             0.97709,             0.81114,            0.020652,            0.029012,           0.0010823,            0.001486,            0.001486,            0.001486
                  88,            0.021542,            0.017264,           0.0012569,             0.97079,             0.94409,             0.97979,              0.8157,              0.0206,            0.028976,           0.0010103,            0.001387,            0.001387,            0.001387
                  89,            0.021277,            0.016835,            0.001354,             0.96558,             0.94479,              0.9801,             0.81461,            0.020525,            0.028945,           0.0010115,            0.001288,            0.001288,            0.001288
                  90,            0.021324,            0.017175,           0.0013092,             0.96878,             0.94727,             0.98076,              0.8162,            0.020501,            0.028945,            0.001027,            0.001189,            0.001189,            0.001189
                  91,            0.021376,            0.017114,           0.0013162,             0.97009,             0.94045,             0.98064,             0.81725,            0.020517,            0.028973,           0.0010646,             0.00109,             0.00109,             0.00109
                  92,            0.021135,            0.016946,           0.0012632,             0.96547,             0.94867,             0.97907,             0.81547,            0.020473,            0.028999,           0.0011139,            0.000991,            0.000991,            0.000991
                  93,            0.021176,            0.016883,            0.001246,              0.9703,             0.94046,             0.97727,             0.81409,            0.020467,            0.029018,           0.0010767,            0.000892,            0.000892,            0.000892
                  94,            0.020792,            0.016494,           0.0012626,             0.97132,             0.94096,             0.97927,             0.81801,            0.020418,            0.028967,            0.001093,            0.000793,            0.000793,            0.000793
                  95,            0.021149,            0.017067,           0.0012693,             0.97121,             0.94372,             0.97891,             0.81677,            0.020396,            0.028942,           0.0010894,            0.000694,            0.000694,            0.000694
                  96,            0.021026,            0.016805,           0.0012388,             0.96876,             0.94568,             0.97918,             0.81773,             0.02038,            0.028837,           0.0010912,            0.000595,            0.000595,            0.000595
                  97,            0.020853,            0.016735,           0.0012723,              0.9705,             0.94178,             0.97939,             0.81927,             0.02037,            0.028845,           0.0010707,            0.000496,            0.000496,            0.000496
                  98,            0.020685,            0.016448,           0.0012732,             0.97054,             0.94164,             0.97965,             0.82024,            0.020357,            0.028876,           0.0010945,            0.000397,            0.000397,            0.000397
                  99,            0.020899,            0.016894,           0.0012525,             0.97076,              0.9432,             0.97962,              0.8199,            0.020359,            0.028805,           0.0011403,            0.000298,            0.000298,            0.000298
