arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_100,clear,bus,mAP75,0.48169,5345,682,False,2026-09-12T08:36:12.482376+00:00
base_100,clear,motor,mAP50-95,0.19472,5345,200,False,2026-09-12T08:36:12.482376+00:00
base_100,clear,motor,mAP50,0.41884,5345,200,False,2026-09-12T08:36:12.482376+00:00
base_100,clear,motor,mAP75,0.14403,5345,200,False,2026-09-12T08:36:12.482376+00:00
base_100,clear,bike,mAP50-95,0.23029,5345,391,False,2026-09-12T08:36:12.482376+00:00
base_100,clear,bike,mAP50,0.46726,5345,391,False,2026-09-12T08:36:12.482376+00:00
base_100,clear,bike,mAP75,0.19334,5345,391,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,all,mAP50-95,0.36457,714,8512,True,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,all,mAP50,0.5739,714,8512,True,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,all,mAP75,0.37275,714,8512,True,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,car,mAP50-95,0.49398,714,7964,True,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,car,mAP50,0.79259,714,7964,True,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,car,mAP75,0.50068,714,7964,True,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,truck,mAP50-95,0.45403,714,340,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,truck,mAP50,0.62714,714,340,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,truck,mAP75,0.51703,714,340,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,bus,mAP50-95,0.50701,714,127,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,bus,mAP50,0.641,714,127,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,bus,mAP75,0.56733,714,127,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,motor,mAP50-95,0.10906,714,22,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,motor,mAP50,0.2689,714,22,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,motor,mAP75,0.08275,714,22,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,bike,mAP50-95,0.25876,714,59,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,bike,mAP50,0.53986,714,59,False,2026-09-12T08:36:12.482376+00:00
base_100,dawndusk,bike,mAP75,0.19593,714,59,False,2026-09-12T08:36:12.482376+00:00
base_100,day,all,mAP50-95,0.34463,4264,51930,True,2026-09-12T08:36:12.482376+00:00
base_100,day,all,mAP50,0.54074,4264,51930,True,2026-09-12T08:36:12.482376+00:00
base_100,day,all,mAP75,0.3494,4264,51930,True,2026-09-12T08:36:12.482376+00:00
base_100,day,car,mAP50-95,0.50241,4264,47715,True,2026-09-12T08:36:12.482376+00:00
base_100,day,car,mAP50,0.80178,4264,47715,True,2026-09-12T08:36:12.482376+00:00
base_100,day,car,mAP75,0.50757,4264,47715,True,2026-09-12T08:36:12.482376+00:00
base_100,day,truck,mAP50-95,0.42867,4264,2532,True,2026-09-12T08:36:12.482376+00:00
