arm_name,dataset_split,scorer,metric_name,value,timestamp
set1_night_aug_3ep_test,val,ultralytics,mAP50,0.305283855111676,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50-95,0.18210777853126092,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50_car,0.6850911920463809,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50-95_car,0.39604921670784976,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50_truck,0.29760163999019135,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50-95_truck,0.19381130251744583,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50_bus,0.2571064233153138,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50-95_bus,0.1813013955302692,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50_motor,0.15233010780958306,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50-95_motor,0.08079940273686101,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50_bike,0.13428991239691093,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,ultralytics,mAP50-95_bike,0.05857757516387878,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,ultralytics,mAP50,0.26718757168084756,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,ultralytics,mAP50-95,0.15173246837269821,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,ultralytics,mAP50_car,0.6520888007203838,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,ultralytics,mAP50-95_car,0.3502097366435195,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,ultralytics,mAP50_truck,0.29311796548483204,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,ultralytics,mAP50-95_truck,0.1970873575381435,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,ultralytics,mAP50_bus,0.22137940324520816,2026-08-16T08:58:04.926074+00:00
