arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_10,clear,bus,mAP75,0.38716,5345,682,False,2026-09-12T10:24:16.975555+00:00
base_10,clear,motor,mAP50-95,0.09727,5345,200,False,2026-09-12T10:24:16.975555+00:00
base_10,clear,motor,mAP50,0.22548,5345,200,False,2026-09-12T10:24:16.975555+00:00
base_10,clear,motor,mAP75,0.0596,5345,200,False,2026-09-12T10:24:16.975555+00:00
base_10,clear,bike,mAP50-95,0.12887,5345,391,False,2026-09-12T10:24:16.975555+00:00
base_10,clear,bike,mAP50,0.29202,5345,391,False,2026-09-12T10:24:16.975555+00:00
base_10,clear,bike,mAP75,0.09398,5345,391,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,all,mAP50-95,0.27528,714,8512,True,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,all,mAP50,0.4556,714,8512,True,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,all,mAP75,0.26705,714,8512,True,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,car,mAP50-95,0.45171,714,7964,True,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,car,mAP50,0.74477,714,7964,True,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,car,mAP75,0.45277,714,7964,True,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,truck,mAP50-95,0.33659,714,340,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,truck,mAP50,0.4796,714,340,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,truck,mAP75,0.37032,714,340,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,bus,mAP50-95,0.37545,714,127,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,bus,mAP50,0.50251,714,127,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,bus,mAP75,0.42723,714,127,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,motor,mAP50-95,0.05392,714,22,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,motor,mAP50,0.16042,714,22,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,motor,mAP75,0.01296,714,22,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,bike,mAP50-95,0.15872,714,59,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,bike,mAP50,0.39071,714,59,False,2026-09-12T10:24:16.975555+00:00
base_10,dawndusk,bike,mAP75,0.072,714,59,False,2026-09-12T10:24:16.975555+00:00
base_10,day,all,mAP50-95,0.26629,4264,51930,True,2026-09-12T10:24:16.975555+00:00
base_10,day,all,mAP50,0.43482,4264,51930,True,2026-09-12T10:24:16.975555+00:00
base_10,day,all,mAP75,0.26425,4264,51930,True,2026-09-12T10:24:16.975555+00:00
base_10,day,car,mAP50-95,0.4582,4264,47715,True,2026-09-12T10:24:16.975555+00:00
base_10,day,car,mAP50,0.75151,4264,47715,True,2026-09-12T10:24:16.975555+00:00
base_10,day,car,mAP75,0.45712,4264,47715,True,2026-09-12T10:24:16.975555+00:00
base_10,day,truck,mAP50-95,0.32249,4264,2532,True,2026-09-12T10:24:16.975555+00:00
base_10,day,truck,mAP50,0.46019,4264,2532,True,2026-09-12T10:24:16.975555+00:00
base_10,day,truck,mAP75,0.35486,4264,2532,True,2026-09-12T10:24:16.975555+00:00
base_10,day,bus,mAP50-95,0.30868,4264,927,True,2026-09-12T10:24:16.975555+00:00
base_10,day,bus,mAP50,0.41883,4264,927,True,2026-09-12T10:24:16.975555+00:00
base_10,day,bus,mAP75,0.34252,4264,927,True,2026-09-12T10:24:16.975555+00:00
base_10,day,motor,mAP50-95,0.11973,4264,262,False,2026-09-12T10:24:16.975555+00:00
