arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_100,overall,all,mAP50-95,0.34383,8841,97193,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,all,mAP50,0.54775,8841,97193,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,all,mAP75,0.34743,8841,97193,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,car,mAP50-95,0.47525,8841,91118,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,car,mAP50,0.78792,8841,91118,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,car,mAP75,0.46953,8841,91118,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,truck,mAP50-95,0.4263,8841,3608,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,truck,mAP50,0.58309,8841,3608,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,truck,mAP75,0.47389,8841,3608,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,bus,mAP50-95,0.41511,8841,1351,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,bus,mAP50,0.5378,8841,1351,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,bus,mAP75,0.46239,8841,1351,True,2026-09-14T07:18:08.087224+00:00
base_100,overall,motor,mAP50-95,0.18363,8841,377,False,2026-09-14T07:18:08.087224+00:00
base_100,overall,motor,mAP50,0.37564,8841,377,False,2026-09-14T07:18:08.087224+00:00
base_100,overall,motor,mAP75,0.15196,8841,377,False,2026-09-14T07:18:08.087224+00:00
base_100,overall,bike,mAP50-95,0.21888,8841,739,False,2026-09-14T07:18:08.087224+00:00
base_100,overall,bike,mAP50,0.45431,8841,739,False,2026-09-14T07:18:08.087224+00:00
base_100,overall,bike,mAP75,0.1794,8841,739,False,2026-09-14T07:18:08.087224+00:00
base_100,adverse,all,mAP50-95,0.33675,1519,15765,True,2026-09-14T07:18:08.087224+00:00
base_100,adverse,all,mAP50,0.5175,1519,15765,True,2026-09-14T07:18:08.087224+00:00
base_100,adverse,all,mAP75,0.35437,1519,15765,True,2026-09-14T07:18:08.087224+00:00
base_100,adverse,car,mAP50-95,0.48754,1519,14568,True,2026-09-14T07:18:08.087224+00:00
base_100,adverse,car,mAP50,0.79447,1519,14568,True,2026-09-14T07:18:08.087224+00:00
base_100,adverse,car,mAP75,0.49046,1519,14568,True,2026-09-14T07:18:08.087224+00:00
