               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.014806,           0.0025838,           0.0021548,              0.2533,             0.26601,             0.23628,             0.13754,            0.049764,             0.17814,           0.0075103,            0.006535,            0.006535,            0.006535
                  37,            0.015341,           0.0025997,           0.0023277,             0.24928,             0.26538,             0.23265,              0.1358,            0.049642,              0.1792,            0.007493,            0.006436,            0.006436,            0.006436
                  38,            0.015016,           0.0025376,           0.0021976,              0.2475,             0.26496,             0.22952,             0.13356,            0.049551,             0.18033,           0.0074881,            0.006337,            0.006337,            0.006337
                  39,             0.01516,             0.00259,           0.0022705,             0.24611,              0.2633,             0.22531,             0.13138,             0.04944,             0.18211,           0.0074842,            0.006238,            0.006238,            0.006238
                  40,            0.014811,           0.0025756,           0.0021972,             0.24309,              0.2632,             0.22126,              0.1291,            0.049298,             0.18375,           0.0074647,            0.006139,            0.006139,            0.006139
                  41,            0.014679,           0.0025669,           0.0021852,              0.2383,             0.26258,             0.21619,             0.12585,            0.049171,             0.18531,           0.0074515,             0.00604,             0.00604,             0.00604
                  42,            0.014934,            0.002518,           0.0021572,             0.23314,             0.25954,             0.21046,             0.12305,            0.049076,             0.18723,           0.0074423,            0.005941,            0.005941,            0.005941
                  43,            0.014314,           0.0024797,           0.0019633,             0.23269,             0.25751,             0.20869,              0.1223,            0.048966,             0.18848,           0.0074319,            0.005842,            0.005842,            0.005842
                  44,            0.014574,           0.0024995,           0.0020277,             0.22879,             0.25601,             0.20561,             0.12045,            0.048874,             0.18946,           0.0074087,            0.005743,            0.005743,            0.005743
                  45,            0.014642,           0.0025284,           0.0021068,             0.22499,              0.2558,              0.2024,               0.119,            0.048758,             0.19025,           0.0073896,            0.005644,            0.005644,            0.005644
                  46,            0.014741,           0.0025022,           0.0022345,             0.22245,             0.25513,             0.19931,             0.11669,            0.048669,             0.19128,           0.0073831,            0.005545,            0.005545,            0.005545
                  47,            0.014391,           0.0024631,            0.002112,             0.21682,             0.25243,             0.19393,             0.11354,            0.048587,             0.19305,           0.0073713,            0.005446,            0.005446,            0.005446
                  48,            0.014103,            0.002386,           0.0020499,             0.21346,             0.24554,             0.18936,             0.11087,            0.048486,             0.19524,           0.0073589,            0.005347,            0.005347,            0.005347
                  49,            0.014308,           0.0024562,           0.0020003,             0.21206,             0.24199,             0.18694,             0.10943,            0.048397,             0.19667,           0.0073477,            0.005248,            0.005248,            0.005248
                  50,            0.014127,           0.0024461,           0.0021079,             0.19599,             0.24489,             0.18024,             0.10409,            0.048293,              0.1952,           0.0073245,            0.005149,            0.005149,            0.005149
                  51,            0.014195,           0.0024246,           0.0020028,             0.18936,             0.24189,             0.17543,             0.10104,            0.048195,              0.1966,           0.0073137,             0.00505,             0.00505,             0.00505
                  52,            0.014472,           0.0025024,           0.0021364,             0.18805,              0.2416,             0.17366,             0.10038,            0.048103,             0.19769,           0.0072987,            0.004951,            0.004951,            0.004951
                  53,            0.014216,           0.0024933,           0.0020718,             0.18535,             0.23924,             0.17048,            0.098676,            0.048008,             0.19984,           0.0072865,            0.004852,            0.004852,            0.004852
                  54,            0.014228,           0.0024242,           0.0020873,             0.18576,             0.23536,             0.16857,            0.097922,            0.047918,             0.20174,            0.007288,            0.004753,            0.004753,            0.004753
                  55,             0.01428,           0.0024055,           0.0020759,             0.18169,             0.23294,             0.16511,            0.095938,            0.047833,             0.20325,           0.0072801,            0.004654,            0.004654,            0.004654
                  56,            0.014039,           0.0023486,           0.0018934,             0.18175,             0.22537,             0.16256,            0.094829,            0.047754,             0.20603,           0.0072748,            0.004555,            0.004555,            0.004555
                  57,            0.013758,           0.0024425,           0.0019755,             0.17982,             0.21963,             0.15872,            0.092959,            0.047667,             0.20823,           0.0072741,            0.004456,            0.004456,            0.004456
                  58,            0.014181,           0.0024918,           0.0019421,              0.1782,             0.21419,             0.15582,            0.091547,              0.0476,              0.2106,           0.0072714,            0.004357,            0.004357,            0.004357
                  59,            0.013794,           0.0024232,           0.0020513,             0.17482,             0.20905,              0.1522,            0.089637,            0.047536,              0.2127,           0.0072677,            0.004258,            0.004258,            0.004258
