epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13635.2,1.43163,0.93562,0.95323,0.7286,0.52953,0.59257,0.36595,1.33522,0.81049,0.94166,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14060.2,1.43165,0.93553,0.95413,0.7322,0.53192,0.58956,0.36717,1.33429,0.80971,0.94142,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14482.7,1.43017,0.93266,0.95173,0.73919,0.52341,0.58937,0.36751,1.33359,0.80861,0.94103,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14906.9,1.42996,0.93295,0.95207,0.73149,0.5354,0.59444,0.36978,1.3333,0.80901,0.94118,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15327.5,1.43005,0.92847,0.95158,0.73147,0.53758,0.5991,0.37201,1.33288,0.8081,0.94099,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15751.6,1.4246,0.92498,0.95082,0.72856,0.53601,0.59423,0.37222,1.33265,0.80722,0.9408,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16174.1,1.42481,0.92555,0.9501,0.71874,0.54077,0.59545,0.3732,1.33198,0.80647,0.94048,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16596.4,1.42227,0.92238,0.94882,0.71763,0.54085,0.5957,0.37361,1.3314,0.80533,0.94004,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17020,1.42222,0.92137,0.94843,0.72169,0.53902,0.59822,0.37509,1.33063,0.80429,0.93957,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17441.5,1.4192,0.91866,0.94893,0.7273,0.5393,0.59977,0.37656,1.32975,0.80352,0.93936,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17867,1.41713,0.91771,0.94882,0.73296,0.54014,0.60012,0.3757,1.32969,0.80296,0.93905,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18288.4,1.41697,0.91627,0.94857,0.7272,0.54213,0.6008,0.37443,1.32889,0.80209,0.93894,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,18709.9,1.41728,0.91399,0.94765,0.73868,0.53939,0.60797,0.37546,1.32848,0.80119,0.93853,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19133,1.41412,0.91229,0.94701,0.74444,0.53317,0.60192,0.37491,1.32805,0.80047,0.93823,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19554.6,1.41344,0.91088,0.94692,0.73547,0.53522,0.60352,0.37563,1.32769,0.79965,0.93806,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19978.4,1.41546,0.91194,0.94736,0.74686,0.5319,0.60258,0.37705,1.32742,0.79897,0.93774,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20402.8,1.4106,0.90875,0.94692,0.75933,0.53433,0.61087,0.378,1.32657,0.79847,0.9375,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,20825.3,1.41072,0.90703,0.94662,0.76017,0.53465,0.61142,0.37822,1.32614,0.7973,0.9375,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21247,1.40965,0.90572,0.94523,0.75962,0.53703,0.61266,0.37846,1.32623,0.79628,0.93733,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21671.5,1.4096,0.90477,0.9453,0.76344,0.53612,0.6117,0.37915,1.32565,0.79561,0.93704,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,22091.7,1.40628,0.90254,0.94372,0.7538,0.53227,0.61219,0.37854,1.32527,0.7949,0.93667,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22514.7,1.40236,0.89769,0.94392,0.74793,0.5351,0.61344,0.37996,1.32445,0.79422,0.93625,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22936.4,1.40471,0.9,0.94392,0.75028,0.53913,0.61414,0.38142,1.32345,0.79302,0.9358,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23356.8,1.40188,0.89592,0.94459,0.75177,0.53794,0.61449,0.38176,1.32315,0.79247,0.93589,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23777.7,1.4024,0.89531,0.94323,0.7485,0.53588,0.61537,0.3823,1.32277,0.79214,0.9358,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,24201,1.401,0.89487,0.94341,0.73091,0.53972,0.61515,0.38303,1.32239,0.79133,0.93569,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24622.6,1.40025,0.89228,0.94384,0.72628,0.54184,0.61611,0.38229,1.32196,0.79017,0.93561,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,25045.5,1.39691,0.89012,0.94122,0.72863,0.54022,0.61725,0.38293,1.3211,0.78941,0.9352,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25469,1.39324,0.88743,0.94161,0.73527,0.5441,0.61796,0.38346,1.32074,0.78912,0.93496,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,25890.7,1.39279,0.88585,0.93992,0.72623,0.54983,0.61998,0.3831,1.3204,0.78851,0.93472,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26312.7,1.39249,0.88427,0.94019,0.7372,0.54944,0.61975,0.38318,1.3196,0.78749,0.93428,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26736.2,1.39156,0.88316,0.94049,0.73657,0.55047,0.62024,0.38399,1.31885,0.78693,0.93397,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,27158.7,1.38875,0.87874,0.93982,0.73248,0.55477,0.62095,0.38414,1.31872,0.78666,0.93388,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27581.2,1.3866,0.87667,0.93916,0.73719,0.55837,0.62087,0.38303,1.31792,0.78631,0.93345,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,28004.5,1.387,0.87703,0.93875,0.7369,0.56111,0.62249,0.38314,1.31763,0.78624,0.93326,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
