epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,38558.9,1.42928,0.93453,0.9538,0.72215,0.54415,0.61362,0.37517,1.33356,0.80681,0.94116,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,39976,1.42789,0.93358,0.95295,0.71868,0.5482,0.61426,0.37635,1.33307,0.80614,0.94055,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,41369.1,1.42647,0.93286,0.95302,0.72363,0.54741,0.61564,0.37775,1.33242,0.80538,0.94017,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,42799.9,1.42605,0.93223,0.95234,0.72024,0.55693,0.61581,0.3789,1.33169,0.80502,0.93981,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,44189.1,1.42488,0.92875,0.9517,0.71748,0.5581,0.61712,0.3786,1.33163,0.80415,0.93968,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,45598.9,1.42449,0.92915,0.95268,0.72617,0.55553,0.6183,0.38005,1.33142,0.8032,0.93944,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,46997.8,1.42284,0.92592,0.95126,0.72877,0.55486,0.61837,0.38032,1.33093,0.80207,0.93921,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,48422.5,1.41992,0.92167,0.95119,0.73461,0.55477,0.61888,0.37967,1.33076,0.80087,0.93913,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,49828.1,1.41997,0.92192,0.95126,0.73574,0.55678,0.61992,0.38076,1.32983,0.79981,0.93895,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,51234.8,1.41889,0.92079,0.9495,0.7303,0.54938,0.61972,0.37973,1.32956,0.79889,0.93886,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,52626.6,1.4184,0.92025,0.95043,0.73872,0.5485,0.62102,0.38029,1.32871,0.79818,0.9387,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,54033.1,1.41709,0.91686,0.94973,0.7365,0.55167,0.62114,0.38136,1.32796,0.7965,0.93809,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,55427.5,1.41482,0.91584,0.94902,0.74503,0.54984,0.62172,0.38153,1.32792,0.79556,0.93804,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,56859.6,1.41246,0.91317,0.94745,0.73439,0.55948,0.6223,0.38387,1.32678,0.7948,0.93774,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,58255.1,1.40932,0.91104,0.9481,0.71732,0.56717,0.62342,0.38404,1.32617,0.79402,0.9373,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,59659.3,1.40998,0.90992,0.94696,0.72063,0.56357,0.62191,0.38348,1.32532,0.79353,0.93675,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,61057.2,1.40821,0.9065,0.94746,0.72736,0.55886,0.62205,0.38486,1.32526,0.79336,0.93674,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,62467,1.40806,0.90579,0.9467,0.73859,0.55109,0.62356,0.38611,1.32485,0.79234,0.9367,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,63882.1,1.40393,0.90345,0.94606,0.74078,0.54947,0.62364,0.38614,1.32469,0.79145,0.93651,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,65284.1,1.40455,0.90285,0.94448,0.71339,0.57074,0.62399,0.3868,1.32425,0.78993,0.93596,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,66696.6,1.40282,0.89985,0.94539,0.71916,0.56781,0.62147,0.38502,1.32414,0.78883,0.93578,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
